bowler,team,matches,innings,overs,balls,runs_conceded,wickets,economy,average,strike_rate,dot_pct,4w,5w,best_bowling
Mohammed Siraj,India,48,48,378.5,2271,1927,77,5.09,25.03,29.49,58.65,3,2,6/22
Mosaddek Hossain,Bangladesh,37,37,169.3,1016,904,16,5.34,56.5,63.5,44.39,0,0,3/13
Mustafizur Rahman,Bangladesh,103,104,859.7,5158,4431,167,5.15,26.53,30.89,52.87,10,5,6/47
N Mlaba,South Africa,50,50,409.5,2457,1968,68,4.81,28.94,36.13,53.36,4,0,4/30
N Pradeep,Sri Lanka,45,45,383.7,2302,2320,69,6.05,33.62,33.36,48.35,2,0,4/33
N Shree Charani,India,21,21,183.7,1102,1039,30,5.66,34.63,36.73,46.19,0,0,3/42
N Vanua,Papua New Guinea,49,49,370.5,2223,1880,56,5.07,33.57,39.7,53.4,3,1,5/41
N de Klerk,South Africa,58,58,409.5,2457,2054,80,5.02,25.68,30.71,53.64,3,0,4/32
NK Patel,United States of America,36,36,258.7,1552,1210,43,4.68,28.14,36.09,51.8,1,0,4/31
NL McCullum,New Zealand,81,81,595.0,3570,2971,71,4.99,41.85,50.28,47.87,1,0,4/24
NLTC Perera,Sri Lanka,152,152,962.7,5776,5632,183,5.85,30.78,31.56,47.23,10,4,6/44
NM Coulter-Nile,Australia,31,31,278.3,1670,1538,52,5.53,29.58,32.12,52.93,1,0,4/49
NM Hauritz,Australia,48,48,400.3,2402,1918,56,4.79,34.25,42.89,46.34,1,0,4/30
NM Lyon,Australia,29,29,273.3,1640,1359,29,4.97,46.86,56.55,49.15,1,0,4/46
NO Miller,West Indies,38,38,286.7,1720,1417,34,4.94,41.68,50.59,47.67,2,0,4/43
NP Kenjige,United States of America,57,57,470.0,2820,1995,62,4.24,32.18,45.48,56.95,1,1,5/11
NR Sciver,England,73,73,411.5,2469,1859,64,4.52,29.05,38.58,54.39,2,1,5/60
NW Bracken,Australia,100,100,849.2,5095,3792,168,4.47,22.57,30.33,58.27,11,2,5/47
Naeem Islam,Bangladesh,41,41,237.0,1422,1159,34,4.89,34.09,41.82,46.55,0,0,3/32
Nahida Akter,Bangladesh,49,50,395.0,2370,1573,75,3.98,20.97,31.6,58.35,4,2,5/21
Naseem Shah,Pakistan,31,31,281.5,1689,1556,61,5.53,25.51,27.69,51.27,3,2,6/34
Nashra Sandhu,Pakistan,77,78,682.3,4094,3031,116,4.44,26.13,35.29,55.57,4,2,6/28
Nasir Hossain,Bangladesh,42,42,208.0,1248,990,25,4.76,39.6,49.92,49.2,0,0,3/26
Naved-ul-Hasan,Pakistan,60,60,498.2,2989,2641,100,5.3,26.41,29.89,54.7,10,0,4/25
Nazmul Hossain,Bangladesh,25,25,188.7,1132,976,30,5.17,32.53,37.73,57.16,1,0,4/40
Nida Dar,Pakistan,64,64,486.2,2917,2224,62,4.57,35.87,47.05,54.34,2,0,4/10
O Prendergast,Ireland,32,32,197.3,1184,953,27,4.83,35.3,43.85,58.45,0,0,3/25
OU Ranasinghe,Sri Lanka,29,29,191.8,1151,1018,38,5.31,26.79,30.29,45.79,2,1,5/34
P Kumar,India,67,67,556.2,3337,2858,86,5.14,33.23,38.8,54.72,3,0,4/31
P Utseya,Zimbabwe,115,115,1035.7,6214,4826,104,4.66,46.4,59.75,49.42,2,1,5/36
P Vastrakar,India,30,30,192.5,1155,1049,29,5.45,36.17,39.83,53.42,1,0,4/35
PA van Meekeren,Netherlands,34,34,297.5,1785,1583,63,5.32,25.13,28.33,52.21,4,2,5/29
PADLR Sandakan,Sri Lanka,30,30,256.3,1538,1556,29,6.07,53.66,53.03,40.57,1,0,4/52
PD Collingwood,England,120,120,715.5,4293,3488,98,4.87,35.59,43.81,47.43,1,0,4/15
PJ Cummins,Australia,88,88,790.2,4741,4100,147,5.19,27.89,32.25,53.66,8,1,5/71
PJ Ongondo,Kenya,32,32,218.8,1313,995,34,4.55,29.26,38.62,62.99,1,1,5/51
PM Seelaar,Netherlands,27,27,212.8,1277,1028,26,4.83,39.54,49.12,52.0,1,0,4/15
PP Chawla,India,25,25,221.7,1330,1131,33,5.1,34.27,40.3,51.73,2,0,4/23
PR Stirling,Ireland,45,45,247.5,1485,1227,26,4.96,47.19,57.12,47.34,0,0,3/33
PVD Chameera,Sri Lanka,52,52,385.3,2312,2128,60,5.52,35.47,38.53,52.42,2,1,5/17
PWH de Silva,Sri Lanka,61,61,483.3,2900,2505,102,5.18,24.56,28.43,50.66,8,4,7/19
Poonam Yadav,India,49,49,433.3,2600,1773,65,4.09,27.28,40.0,55.5,2,1,5/24
R Ashwin,India,113,113,1059.7,6358,5228,166,4.93,31.49,38.3,47.99,4,0,4/27
R McLaren,South Africa,50,50,411.0,2466,2101,84,5.11,25.01,29.36,51.05,6,0,4/21
R Ngarava,Zimbabwe,45,45,367.0,2202,1946,66,5.3,29.48,33.36,54.36,2,1,5/33
R Rampaul,West Indies,76,76,617.2,3703,3136,115,5.08,27.27,32.2,53.82,11,2,5/50
R Shepherd,West Indies,37,37,247.7,1486,1351,37,5.45,36.51,40.16,52.76,1,0,4/45
R Trumpelmann,Namibia,45,45,373.3,2240,1732,67,4.64,25.85,33.43,58.88,4,1,5/30
R Vinay Kumar,India,31,31,243.2,1459,1448,46,5.95,31.48,31.72,52.71,3,1,5/59
RA Jadeja,India,199,199,1721.7,10330,8470,244,4.92,34.71,42.34,48.93,11,2,5/33
RA Mair,New Zealand,25,25,178.7,1072,894,19,5.0,47.05,56.42,55.22,1,0,4/58
RAS Lakmal,Sri Lanka,81,81,643.2,3859,3519,110,5.47,31.99,35.08,52.92,4,0,4/14
RE van der Merwe,Netherlands,38,38,326.3,1958,1544,47,4.73,32.85,41.66,48.26,0,0,3/14
RJ Harris,Australia,20,20,175.2,1051,853,46,4.87,18.54,22.85,56.9,3,3,6/21
RJ Peterson,South Africa,62,62,466.3,2798,2280,76,4.89,30.0,36.82,49.43,2,1,5/12
RJ Sidebottom,England,22,22,197.0,1182,974,25,4.94,38.96,47.28,55.67,0,0,3/27
RJW Topley,England,29,29,231.5,1389,1241,48,5.36,25.85,28.94,53.35,3,1,6/29
RL Chase,West Indies,55,55,384.8,2309,1952,41,5.07,47.61,56.32,47.16,0,0,3/44
RP Singh,India,60,60,479.8,2879,2529,81,5.27,31.22,35.54,53.59,3,1,5/35
RR Powar,India,27,27,240.2,1441,1135,33,4.73,34.39,43.67,51.91,1,0,4/24
RS Bopara,England,73,73,309.7,1858,1546,41,4.99,37.71,45.32,47.85,1,0,4/39
RS Gayakwad,India,46,46,412.5,2475,1627,78,3.94,20.86,31.73,58.95,3,1,5/15
RW Price,Zimbabwe,76,76,696.0,4176,2855,87,4.1,32.82,48.0,55.29,0,0,3/16
Rabeya Khan,Bangladesh,31,31,246.3,1478,962,42,3.91,22.9,35.19,55.21,3,1,5/30
Renuka Singh,India,29,29,244.3,1466,1185,46,4.85,25.76,31.87,56.75,5,2,6/30
Rohan Mustafa,United Arab Emirates,74,74,584.7,3508,2654,87,4.54,30.51,40.32,52.51,3,1,6/26
Rubel Hossain,Bangladesh,93,93,731.5,4389,4174,128,5.71,32.61,34.29,49.1,9,2,6/26
S Ecclestone,England,77,77,708.7,4252,2626,138,3.71,19.03,30.81,63.29,7,2,6/36
S Ismail,South Africa,84,85,707.0,4242,2821,142,3.99,19.87,29.87,63.88,10,1,5/12
S Lamichhane,Nepal,60,60,571.2,3427,2573,134,4.5,19.2,25.57,57.13,11,4,7/14
S Luus,South Africa,88,88,541.8,3251,2534,96,4.68,26.4,33.86,49.77,3,2,6/45
S Pandey,India,40,40,307.8,1847,1274,59,4.14,21.59,31.31,61.51,2,0,4/22
S Prasanna,Sri Lanka,38,38,322.7,1936,1742,33,5.4,52.79,58.67,44.47,0,0,3/33
S Rana,India,39,39,333.7,2002,1682,61,5.04,27.57,32.82,49.35,6,3,5/22
S Randiv,Sri Lanka,29,29,241.2,1447,1240,38,5.14,32.63,38.08,45.68,1,1,5/44
S Sreesanth,India,49,49,413.5,2481,2388,81,5.78,29.48,30.63,53.37,3,1,6/55
SA Abbott,Australia,29,29,228.2,1369,1299,39,5.69,33.31,35.1,51.06,1,0,4/68
SB Styris,New Zealand,93,93,544.2,3265,2544,76,4.67,33.47,42.96,51.67,2,0,4/22
SC Ganguly,India,38,38,175.2,1051,895,23,5.11,38.91,45.7,47.29,1,0,4/42
SC Selman,West Indies,40,40,278.0,1668,1141,36,4.1,31.69,46.33,57.13,0,0,3/29
SC Williams,Zimbabwe,111,111,707.3,4244,3552,77,5.02,46.13,55.12,47.55,2,0,4/41
SCJ Broad,England,117,117,1014.2,6085,5361,198,5.29,27.08,30.73,53.89,14,2,5/24
SE Bond,New Zealand,60,60,570.2,3421,2375,113,4.17,21.02,30.27,62.26,6,2,6/24
SFM Devine,New Zealand,72,72,450.8,2705,2117,59,4.7,35.88,45.85,55.67,0,0,3/24
SI Mahmood,England,24,24,206.3,1238,1145,38,5.55,30.13,32.58,51.7,2,1,5/52
SJ Benn,West Indies,44,44,383.3,2300,1883,38,4.91,49.55,60.53,49.3,3,0,4/18
SJ Harmison,England,46,46,407.8,2447,2039,66,5.0,30.89,37.08,55.21,3,1,5/43
SK Raina,India,100,100,357.8,2147,1832,42,5.12,43.62,51.12,43.74,0,0,3/35
SL Malinga,Sri Lanka,208,208,1800.5,10803,9518,343,5.29,27.75,31.5,51.63,21,8,7/39
SM Curran,England,40,40,258.0,1548,1544,43,5.98,35.91,36.0,47.22,2,2,5/29
SM Pollock,South Africa,94,94,843.5,5061,2906,120,3.45,24.22,42.18,66.47,2,1,5/27
SM Sharif,Scotland,72,72,574.3,3446,2768,102,4.82,27.14,33.78,55.89,3,2,5/28
SMSM Senanayake,Sri Lanka,47,47,397.3,2384,1892,60,4.76,31.53,39.73,51.8,1,0,4/13
SN Netravalkar,United States of America,62,62,544.0,3264,2150,105,3.95,20.48,31.09,63.05,5,2,6/32
SN Thakur,India,45,45,331.3,1988,2010,66,6.07,30.45,30.12,49.04,3,0,4/37
SO Tikolo,Kenya,26,26,181.5,1089,919,28,5.06,32.82,38.89,48.76,1,1,5/41
SP Narine,West Indies,64,64,592.3,3554,2445,99,4.13,24.7,35.9,58.08,6,3,6/27
SPD Smith,Australia,40,40,180.2,1081,985,29,5.47,33.97,37.28,41.91,0,0,3/16
SR Clark,Australia,36,36,292.7,1756,1411,51,4.82,27.67,34.43,55.3,1,0,4/54
SR Patel,England,31,31,191.5,1149,1082,23,5.65,47.04,49.96,39.77,1,1,5/42
SR Taylor,West Indies,93,93,576.3,3458,2577,84,4.47,30.68,41.17,53.82,2,1,5/38
SR Tendulkar,India,53,53,257.5,1545,1420,31,5.51,45.81,49.84,40.97,1,0,4/57
SR Watson,Australia,140,140,948.3,5690,4780,162,5.04,29.51,35.12,51.09,4,1,5/40
SS Connell,West Indies,54,54,337.2,2023,1592,41,4.72,38.83,49.34,54.18,1,0,4/54
SS Cottrell,West Indies,33,33,274.7,1648,1598,52,5.82,30.73,31.69,50.55,3,3,5/46
SS Weerakkody,Sri Lanka,33,33,187.0,1122,826,28,4.42,29.5,40.07,59.36,1,0,4/38
ST Finn,England,67,67,607.2,3643,3048,111,5.02,27.46,32.82,56.55,6,2,6/71
ST Gabriel,West Indies,23,23,183.5,1101,1119,30,6.1,37.3,36.7,46.59,0,0,3/17
ST Jayasuriya,Sri Lanka,105,105,677.5,4065,3245,105,4.79,30.9,38.71,44.7,5,1,5/17
SW Bates,New Zealand,49,49,245.3,1472,1202,28,4.9,42.93,52.57,52.58,0,0,3/18
SW Tait,Australia,34,34,305.5,1833,1533,66,5.02,23.23,27.77,54.39,2,1,5/53
Saad Bin Zafar,Canada,28,28,253.2,1519,1074,29,4.24,37.03,52.38,55.17,0,0,3/34
Sadia Iqbal,Pakistan,36,37,310.0,1860,1251,57,4.04,21.95,32.63,61.02,2,0,4/15
Sadia Yousuf,Pakistan,25,25,215.3,1292,938,36,4.36,26.06,35.89,54.41,1,1,5/36
Saeed Ajmal,Pakistan,107,107,974.5,5847,4159,181,4.27,22.98,32.3,54.81,9,3,5/25
Sana Mir,Pakistan,43,43,383.2,2299,1568,72,4.09,21.78,31.93,58.42,5,1,5/26
Shadab Khan,Pakistan,62,62,529.3,3176,2802,84,5.29,33.36,37.81,46.35,5,0,4/27
