bowler,team,matches,innings,overs,balls,runs_conceded,wickets,economy,average,strike_rate,dot_pct,4w,5w,best_bowling
WK Dilhari,Sri Lanka,35,35,246.7,1480,1218,34,4.94,35.82,43.53,46.76,2,0,4/20
WP Masakadza,Zimbabwe,31,31,230.2,1381,1168,23,5.07,50.78,60.04,44.53,0,0,3/36
WPUJC Vaas,Sri Lanka,95,95,810.0,4860,3379,120,4.17,28.16,40.5,63.81,4,1,5/39
Wahab Riaz,Pakistan,88,88,739.5,4437,4177,138,5.65,30.27,32.15,46.7,11,4,6/52
Washington Sundar,India,26,26,171.2,1027,847,29,4.95,29.21,35.41,50.34,0,0,3/30
XJ Doherty,Australia,55,55,462.2,2773,2212,63,4.79,35.11,44.02,49.91,3,0,4/28
YK Pathan,India,50,50,252.8,1517,1379,37,5.45,37.27,41.0,41.53,0,0,3/39
YS Chahal,India,68,68,623.5,3741,3298,124,5.29,26.6,30.17,47.37,7,2,6/42
Yasir Shah,Pakistan,24,24,217.0,1302,1165,25,5.37,46.6,52.08,44.47,2,1,6/26
Yuvraj Singh,India,126,126,678.3,4070,3477,102,5.13,34.09,39.9,45.11,3,1,5/31
Z Khan,India,129,129,1143.7,6862,5753,213,5.03,27.01,32.22,54.36,9,2,5/43
Zahoor Khan,United Arab Emirates,60,60,481.3,2888,2407,95,5.0,25.34,30.4,51.28,3,1,6/37
Zeeshan Maqsood,Oman,44,44,357.5,2145,1520,56,4.25,27.14,38.3,54.97,4,0,4/16
