keeper,catches,stumpings,total_dismissals,matches_as_keeper,batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average,dismissals_per_match,catches_per_match,stumpings_per_match,runs_score,keeping_score,keeper_score
Liton Das,57,4,61,35,Liton Das,Bangladesh,85,85,79,6,2181,2594,237,40,10,4,176,84.08,27.61,1.74,1.63,0.11,18.74,14.32,16.53
M Bhanuka,5,1,6,3,M Bhanuka,Sri Lanka,6,6,6,0,140,199,13,2,0,0,36,70.35,23.33,2.0,1.67,0.33,1.2,1.41,1.3
M Mupachikwa,21,2,23,17,M Mupachikwa,Zimbabwe,27,27,26,1,621,1126,62,0,4,0,77,55.15,23.88,1.35,1.24,0.12,5.34,5.4,5.37
MA Ouma,10,2,12,10,MA Ouma,Kenya,26,26,24,2,468,855,49,2,1,0,54,54.74,19.5,1.2,1.0,0.2,4.02,2.82,3.42
MAA Sanjeewani,26,10,36,23,MAA Sanjeewani,Sri Lanka,41,41,35,6,575,949,42,2,1,0,55,60.59,16.43,1.57,1.13,0.43,4.94,8.45,6.7
MADD Surangika,13,2,15,12,MADD Surangika,Sri Lanka,34,34,28,6,642,1210,59,1,3,0,84,53.06,22.93,1.25,1.08,0.17,5.52,3.52,4.52
MD Patel,38,2,40,28,MD Patel,United States of America,66,66,63,3,2132,2682,173,30,16,3,130,79.49,33.84,1.43,1.36,0.07,18.32,9.39,13.86
MDKJ Perera,48,3,51,35,MDKJ Perera,Sri Lanka,107,107,103,4,3077,3375,344,51,16,6,135,91.17,29.87,1.46,1.37,0.09,26.43,11.97,19.2
MH Cross,108,10,118,67,MH Cross,Scotland,82,82,80,2,1877,2690,161,18,10,2,114,69.78,23.46,1.76,1.61,0.15,16.13,27.7,21.92
MJ Prior,69,7,76,44,MJ Prior,England,57,57,50,7,1229,1652,132,6,3,0,87,74.39,24.58,1.73,1.57,0.16,10.56,17.84,14.2
MN van Wyk,11,1,12,8,MN van Wyk,South Africa,16,16,16,0,425,631,48,4,4,0,82,67.35,26.56,1.5,1.38,0.12,3.65,2.82,3.24
MR Aguilleira,10,5,15,11,MR Aguilleira,West Indies,25,25,22,3,323,598,26,3,0,0,46,54.01,14.68,1.36,0.91,0.45,2.77,3.52,3.14
MS Dhoni,308,118,426,233,MS Dhoni,India,279,279,200,79,10274,12090,787,210,72,9,148,84.98,51.37,1.83,1.32,0.51,88.26,100.0,94.13
MS Wade,104,9,113,60,MS Wade,Australia,82,82,70,12,1792,2226,127,33,10,1,100,80.5,25.6,1.88,1.73,0.15,15.4,26.53,20.96
MV Boucher,173,9,182,92,MV Boucher,South Africa,106,106,78,28,2617,2961,199,55,12,1,147,88.38,33.55,1.98,1.88,0.1,22.48,42.72,32.6
MV Waldron,18,8,26,15,MV Waldron,Ireland,21,21,18,3,290,639,26,0,0,0,41,45.38,16.11,1.73,1.2,0.53,2.49,6.1,4.3
Mohammad Boota,0,1,1,1,Mohammad Boota,United Arab Emirates,7,7,6,1,173,240,12,6,1,0,59,72.08,28.83,1.0,0.0,1.0,1.49,0.23,0.86
Mohammad Haris,6,2,8,5,Mohammad Haris,Pakistan,5,5,4,1,30,36,2,1,0,0,17,83.33,7.5,1.6,1.2,0.4,0.26,1.88,1.07
Mohammad Rizwan,106,7,113,63,Mohammad Rizwan,Pakistan,88,88,67,21,2833,3401,238,35,18,4,131,83.3,42.28,1.79,1.68,0.11,24.34,26.53,25.44
Mohammad Salman,2,1,3,3,Mohammad Salman,Pakistan,3,3,2,1,22,40,2,0,0,0,19,55.0,11.0,1.0,0.67,0.33,0.19,0.7,0.44
Moin Khan,16,3,19,11,Moin Khan,Pakistan,15,15,10,5,274,318,21,3,2,0,72,86.16,27.4,1.73,1.45,0.27,2.35,4.46,3.4
Muneeba Ali,23,5,28,20,Muneeba Ali,Pakistan,57,57,54,3,1364,2272,165,4,5,1,107,60.04,25.26,1.4,1.15,0.25,11.72,6.57,9.14
Mushfiqur Rahim,217,46,263,153,Mushfiqur Rahim,Bangladesh,227,227,188,39,7096,8993,568,94,44,9,144,78.91,37.74,1.72,1.42,0.3,60.96,61.74,61.35
N Dickwella,41,11,52,33,N Dickwella,Sri Lanka,52,52,51,1,1604,1758,187,12,9,2,116,91.24,31.45,1.58,1.24,0.33,13.78,12.21,13.0
N Koncharoenkai,8,2,10,5,N Koncharoenkai,Thailand,11,11,10,1,182,260,22,0,0,0,30,70.0,18.2,2.0,1.6,0.4,1.56,2.35,1.96
N Pooran,20,1,21,19,N Pooran,West Indies,54,54,47,7,1829,1913,142,75,9,3,118,95.61,38.91,1.11,1.05,0.05,15.71,4.93,10.32
NJ O'Brien,67,6,73,38,NJ O'Brien,Ireland,63,63,57,6,1692,2394,140,25,12,1,109,70.68,29.68,1.92,1.76,0.16,14.54,17.14,15.84
NV Ojha,0,1,1,1,NV Ojha,India,1,1,1,0,1,9,0,0,0,0,1,11.11,1.0,1.0,0.0,1.0,0.01,0.23,0.12
Najiha Alvi,4,7,11,5,Najiha Alvi,Pakistan,12,12,9,3,206,318,10,0,0,0,36,64.78,22.89,2.2,0.8,1.4,1.77,2.58,2.17
Naseem Khushi,22,3,25,15,Naseem Khushi,Oman,24,24,23,1,360,335,24,19,1,0,69,107.46,15.65,1.67,1.47,0.2,3.09,5.87,4.48
Nigar Sultana,30,21,51,27,Nigar Sultana,Bangladesh,54,55,49,6,1325,2409,115,5,6,1,101,55.0,27.04,1.89,1.11,0.78,11.38,11.97,11.68
Nurul Hasan,13,4,17,9,Nurul Hasan,Bangladesh,8,8,4,4,213,223,18,5,0,0,45,95.52,53.25,1.89,1.44,0.44,1.83,3.99,2.91
P Mustard,7,2,9,6,P Mustard,England,9,9,9,0,219,244,25,5,1,0,83,89.75,24.33,1.5,1.17,0.33,1.88,2.11,2.0
PA Nixon,20,3,23,15,PA Nixon,England,18,18,14,4,297,351,21,7,0,0,49,84.62,21.21,1.53,1.33,0.2,2.55,5.4,3.98
PA Patel,22,8,30,15,PA Patel,India,29,29,26,3,693,884,75,7,4,0,95,78.39,26.65,2.0,1.47,0.53,5.95,7.04,6.5
PJ Moor,11,1,12,10,PJ Moor,Zimbabwe,32,32,31,1,520,781,29,20,1,0,50,66.58,16.77,1.2,1.1,0.1,4.47,2.82,3.64
PM Weerakkody,26,11,37,18,PM Weerakkody,Sri Lanka,37,37,36,1,638,1172,64,0,1,0,61,54.44,17.72,2.06,1.44,0.61,5.48,8.69,7.08
Pooja Ganesh,2,1,3,2,Pooja Ganesh,United States of America,3,3,2,1,49,93,2,0,0,0,45,52.69,24.5,1.5,1.0,0.5,0.42,0.7,0.56
Q de Kock,207,18,225,118,Q de Kock,South Africa,159,159,151,8,7014,7390,791,131,31,23,178,94.91,46.45,1.91,1.75,0.15,60.26,52.82,56.54
R Boyce,1,2,3,2,R Boyce,West Indies,5,5,5,0,30,100,3,0,0,0,14,30.0,6.0,1.5,0.5,1.0,0.26,0.7,0.48
R Dravid,76,5,81,59,R Dravid,India,118,118,98,20,3723,5220,348,17,34,1,103,71.32,37.99,1.37,1.29,0.08,31.98,19.01,25.5
R Mutumbami,11,2,13,11,R Mutumbami,Zimbabwe,23,23,21,2,319,447,36,5,1,0,67,71.36,15.19,1.18,1.0,0.18,2.74,3.05,2.9
RD Jacobs,21,4,25,13,RD Jacobs,West Indies,13,13,8,5,142,225,7,1,1,0,50,63.11,17.75,1.92,1.62,0.31,1.22,5.87,3.54
RD Rickelton,18,6,24,14,RD Rickelton,South Africa,16,16,15,1,351,431,40,5,1,0,91,81.44,23.4,1.71,1.29,0.43,3.02,5.63,4.32
