player,team_bat,matches_bat,innings_bat,dismisals,not_out,runs,balls_bat,fours,sixes,50s,100s,highest_score,strike_rate_bat,average_bat,team_bowl,matches_bowl,innings_bowl,overs,balls_bowl,runs_conceded,wickets,economy,average_bowl,strike_rate_bowl,dot_pct,4w,5w,best_bowling,runs_score,bat_avg_score,wickets_score,econ_score,impact_score
JO Holder,West Indies,107,107,85,22,2144,2431,156,64,12,0,99,88.19,25.22,West Indies,127,128,1034.2,6205,5712,162,5.52,35.26,38.3,52.18,8,3,5/27,0.23273990447242726,0.4531895777178796,0.5806451612903226,0.102439024390244,35.51
JP Duminy,South Africa,173,173,136,37,4928,5986,342,67,27,3,129,82.33,36.24,South Africa,131,131,576.7,3460,3094,74,5.37,41.81,46.76,43.35,2,0,4/16,0.5349544072948328,0.6512129380053909,0.26523297491039427,0.12682926829268293,39.57
KA Pollard,West Indies,107,107,100,7,2608,2877,165,129,13,3,119,90.65,26.08,West Indies,77,77,371.0,2226,2086,59,5.62,35.36,37.73,38.19,0,0,3/16,0.28310898827616154,0.4686433063791554,0.2114695340501792,0.08617886178861789,25.93
KJ O'Brien,Ireland,84,84,74,10,1990,2151,198,48,8,1,113,92.52,26.89,Ireland,67,67,398.7,2392,2221,60,5.57,37.02,39.87,50.84,4,0,4/13,0.21602257924446375,0.48319856244384546,0.21505376344086022,0.09430894308943094,24.48
M Kapp,South Africa,96,96,69,27,2590,2984,256,28,14,3,121,86.8,37.54,South Africa,109,109,872.5,5235,3510,151,4.02,23.25,34.67,60.97,6,3,5/20,0.2811550151975684,0.6745732255166218,0.5412186379928315,0.34634146341463423,45.09
MG Erasmus,Namibia,59,60,55,5,2031,2701,165,46,17,1,121,75.19,36.93,Namibia,47,47,281.7,1690,1277,50,4.53,25.54,33.8,57.75,3,2,5/32,0.22047329570125923,0.663611859838275,0.17921146953405018,0.2634146341463415,30.53
MJ Clarke,Australia,198,198,161,37,6988,9095,578,45,50,8,130,76.83,43.4,Australia,92,92,377.3,2264,1868,56,4.95,33.36,40.43,42.18,2,1,5/37,0.7585757707338254,0.779874213836478,0.2007168458781362,0.19512195121951226,48.28
MJ Santner,New Zealand,91,91,59,32,1573,1730,114,50,3,0,67,90.92,26.66,New Zealand,117,117,984.8,5909,4718,138,4.79,34.19,42.82,50.01,2,2,5/50,0.170755536257056,0.4790655884995508,0.4946236559139785,0.22113821138211387,33.97
MM Ali,England,110,110,96,14,2278,2418,199,71,6,3,128,94.21,23.73,England,126,126,989.2,5935,5303,119,5.36,44.56,49.87,43.98,4,1,5/46,0.24728614850195396,0.42641509433962266,0.4265232974910394,0.1284552845528455,31.31
MN Samuels,West Indies,142,142,123,19,4205,5654,384,102,20,9,133,74.37,34.19,West Indies,98,98,615.3,3692,2952,66,4.8,44.73,55.94,48.24,0,0,3/12,0.4564698219713417,0.6143755615453729,0.23655913978494625,0.2195121951219513,37.47
